Date,Match,Team1,Team2,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Team1_Recent_form,Team2_Recent_form,Head_to_Head_Team1_result_precentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank,Head_to_Head_Team1_result_percentage
2002/07,2002BravsBel,Brazil,Belgium,2,23,3,7,0,1,,,,1,5,13,0.75
2002/07,2002SewvsSen,Sweden,Senegal,19,42,0,1,0,2,,,,-1,11,19,0
2002/07,2002JapvsTur,Japan,Turkey,32,22,0,0,0,2,,,,-1,21,10,0.5
2002/07,2002GenvsUS,Germany,United States,11,13,1,3,0,2,,,,1,1,15,0.714285714
2002/07,2002SpavsSk,Spain,South Korea,8,40,1,4,0,0,,,,0,6,20,0.666666667
2002/07,2002EngvsBra,England,Brazil,12,2,1,4,3,7,,,,-1,4,5,0.333333333
2002/07,2002SenvsTur,Senegal,Turkey,42,22,0,2,0,2,,,,-1,19,10,0
2002/07,2002GenvsSk,Germany,South Korea,11,40,1,3,0,0,,,,1,1,20,1
2002/07,2002BravsTur,Brazil,Turkey,2,22,3,7,0,2,,,,1,5,10,1
2002/07,2002Final_GenvsBra,Germany,Brazil,11,2,1,3,3,7,,,,-1,1,5,0.277777778
2002/07,2002SkvsTur,South Korea,Turkey,29,22,0,0,0,2,,,,-1,20,10,0.125
2006/07,2006GervsCoRi,Germany,Costa Rica,19,25,4,5,0,0,,,,1,2,28,1
2006/07,2006PolvsRcu,Poland,Ecuador,29,39,1,1,1,1,,,,-1,16,23,0.5
2006/07,2006GervsPol,Germany,Poland,19,29,4,5,1,1,,,,1,2,16,0.866666667
2006/07,2006EcuvsCoRi,Ecuador,Costa Rica,39,25,1,1,0,0,,,,1,23,28,0.611111111
2006/07,2006EcuvsGer,Ecuador,Germany,39,19,1,1,4,5,,,,-1,23,2,0
2006/07,2006CoRivsPol,Costa Rica,Poland,25,29,0,0,1,1,,,,-1,28,16,0
2006/07,2006EngvsPar,England,Paraguay,10,33,4,5,1,1,,,,1,5,22,1
2006/07,2006TruTivsSew,Trinidad,Sweden,47,16,0,0,2,2,,,,0,32,11,0
2006/07,2006EngvsTrito,England,Trinidad,10,47,4,5,0,0,,,,1,5,32,0
2006/07,2006SwevsEng,Sweden,Paraguay,16,33,2,2,1,1,,,,1,11,22,0.5
2006/07,2006SwevsEng,Sweden,England,16,10,2,2,4,5,,,,0,11,5,0.5
2006/07,2006paravsTrinidad,Paraguay,Trinidad,33,47,1,1,0,0,,,,1,22,32,0
2006/07,2006ArgvsLoco,Argentina,Ivory Coast,9,32,5,6,3,3,,,,1,9,24,1
2006/07,2006SeMonvsNet,Serbia,Netherlands,44,3,1,1,4,5,,,,-1,29,10,0
2006/07,2006ArgvsSeMon,Argentina,Serbia,9,44,5,6,1,1,,,,1,9,29,0.75
2006/07,2006NethvsIvCo,Netherlands,Ivory Coast,3,32,4,5,3,3,,,,1,10,24,1
2006/07,2006NethvsArg,Netherlands,Argentina,3,9,4,5,5,6,,,,0,10,9,0.6875
2006/07,2006IvoCovsSer,Ivory Coast,Serbia,32,44,3,3,1,1,,,,1,24,29,1
2006/07,2006MexvsIrn,Mexico,Iran,4,23,2,2,0,0,,,,1,12,25,1
2006/07,2006AngvsPor,Angola,Portugal,57,7,0,0,4,5,,,,-1,30,8,0
2006/07,2006mexvsAng,Mexico,Angola,4,57,2,2,0,0,,,,0,12,30,0.5
2006/07,2006PorvsIrn,Portugal,Iran,7,23,4,5,0,0,,,,1,8,25,1
2006/07,2006PorvsMex,Portugal,Mexico,7,4,4,5,2,2,,,,1,8,12,0.75
2006/07,2006IrnvsAng,Iran,Angola,23,57,0,0,0,0,,,,0,25,30,0.5
2006/07,2006UnvsCze,United States,Czech,5,2,1,1,3,4,,,,-1,18,7,0
2006/07,2006ItavsGha,Italy,Ghana,13,48,5,6,2,2,,,,1,1,19,1
2006/07,2006CzevsGha,Czech,Ghana,2,48,3,4,2,2,,,,-1,7,19,0
2006/07,2006ItavsUs,Italy,United States,13,5,5,6,1,1,,,,0,1,18,0.785714286
2006/07,2006CzevsIta,Czech,Italy,2,13,3,4,5,6,,,,-1,7,1,0
2006/07,2006GhavsUs,Ghana,United States,48,5,2,2,1,1,,,,1,19,18,1
2006/07,2006AusvsJap,Australia,Japan,42,18,1,1,1,1,,,,1,17,21,0.5
2006/07,2006BravsCro,Brazil,Croatia,1,23,6,8,2,2,,,,1,6,14,0.75
2006/07,2006JapvsCro,Japan,Croatia,18,23,1,1,2,2,,,,0,21,14,0.5
2006/07,2006bravsAus,Brazil,Australia,1,42,6,8,1,1,,,,1,6,17,0.75
2006/07,2006JapvsBra,Japan,Brazil,18,1,1,1,6,8,,,,-1,21,6,0.125
2006/07,2006CrvsAus,Croatia,Australia,23,42,2,2,1,1,,,,0,14,17,0.4
2006/07,2006SkvsTo,South Korea,Togo,29,61,1,1,1,1,,,,1,20,27,1
2006/07,2006FravsSwi,France,Switzerland,8,35,5,6,1,1,,,,0,3,13,0.541666667
2006/07,2006FravsSk,France,South Korea,8,29,5,6,1,1,,,,0,3,20,0.833333333
2006/07,2006TovsSwi,Togo,Switzerland,61,35,1,1,1,1,,,,-1,27,13,0
2006/07,2006TovaFra,Togo,France,61,8,1,1,5,6,,,,-1,27,3,0
2006/07,2006SwivsSk,Switzerland,South Korea,35,29,1,1,1,1,,,,1,13,20,1
2006/07,2006SpavsUk,Spain,Ukraine,5,45,4,5,2,2,,,,1,4,15,0.833333333
2006/07,2006TunvsSa,Tunisia,Saudi Arabia,21,34,0,0,0,0,,,,0,26,31,0.642857143
2006/07,2006SAvsUk,Saudi Arabia,Ukraine,34,45,0,0,2,2,,,,-1,31,15,0
2006/07,2006SpavsTun,Spain,Tunisia,5,21,4,5,0,0,,,,1,4,26,1
2006/07,2006SAvspai,Saudi Arabia,Spain,34,5,0,0,4,5,,,,-1,31,4,0
2006/07,2006UkvsTun,Ukraine,Tunisia,45,21,2,2,0,0,,,,1,15,26,1
2006/07,2006GervsSWe,Germany,Sweden,19,16,4,5,2,2,,,,1,2,11,0.515625
2006/07,2006ArgvsMex,Argentina,Mexico,9,4,5,6,2,2,,,,1,9,12,0.604166667
2006/07,2006ItavsAus,Italy,Australia,13,42,5,6,1,1,,,,1,1,17,1
2006/07,2006SwivsUK,Switzerland,Ukraine,35,45,1,1,2,2,,,,0,13,15,0.5
2006/07,2006EngvsEcu,England,Ecuador,10,39,4,5,1,1,,,,1,5,23,1
2006/07,2006PorvsNeth,Portugal,Netherlands,7,3,4,5,4,5,,,,1,8,10,0.75
2006/07,2006BravsGha,Brazil,Ghana,1,48,6,8,2,2,,,,1,6,19,1
2006/07,2006SpavsFra,Spain,France,5,8,4,5,5,6,,,,-1,4,3,0.5
2006/07,2006GervsArg,Germany,Argentina,19,9,4,5,5,6,,,,0,2,9,0.441176471
2006/07,2006ItavsUk,Italy,Ukraine,13,45,5,6,2,2,,,,1,1,15,0.875
2006/07,2006EngvsPor,England,Portugal,10,7,4,5,4,5,,,,0,5,8,0.642857143
2006/07,2006BravsFra,Brazil,France,1,8,6,8,5,6,,,,-1,6,3,0.583333333
2006/07,2006GervsIta,Germany,Italy,19,13,4,5,5,6,,,,-1,2,1,0.392857143
2006/07,2006PorvsFra,Portugal,France,7,8,4,5,5,6,,,,-1,8,3,0.289473684
2006/07,2006Final_ItavsFra,Italy,France,13,8,5,6,5,6,,,,0,1,3,0.636363636
2006/07,2006GervsPor,Germany,Portugal,19,7,4,5,4,5,,,,1,2,8,0.607142857
2010/07,2010SFvsMex,South Africa,Mexico,83,17,0,0,1,2,,,,0,29,14,0.375
2010/07,2010UrgvsFra,Uruguay,France,16,9,1,2,2,3,,,,0,7,13,0.583333333
2010/07,2010SFvsUrg,South Africa,Uruguay,83,16,0,0,1,2,,,,-1,29,7,0.166666667
2010/07,2010FravsMex,France,Mexico,9,17,2,3,1,2,,,,-1,13,14,0.785714286
2010/07,2010MexvsUrg,Mexico,Uruguay,17,16,1,2,1,2,,,,-1,14,7,0.583333333
2010/07,2010FravsSUF,France,South Africa,9,83,2,3,0,0,,,,-1,13,29,0.625
2010/07,2010SKvsGree,South Korea,Greece,47,13,0,1,0,1,,,,1,20,19,0.833333333
2010/07,2010ArgvsNidg,Argentina,Nigeria,7,21,2,4,1,2,,,,1,15,31,0.875
2010/07,2010ArgvsSK,Argentina,South Korea,7,47,2,4,0,1,,,,1,15,20,1
2010/07,2010GreevsNig,Greece,Nigeria,13,21,0,1,1,2,,,,1,19,31,0.666666667
2010/07,2010NigvsSK,Nigeria,South Korea,21,47,1,2,0,1,,,,0,31,20,0.25
2010/07,2010GreevsArg,Greece,Argentina,13,7,0,1,2,4,,,,-1,19,15,0
2010/07,2010EngvsUs,England,United States,8,14,2,4,1,1,,,,0,12,15,0.75
2010/07,2010AlgvsSlov,Algeria,Slovenia,30,25,0,0,0,0,,,,-1,22,23,0
2010/07,2010SlovsUs,Slovenia,United States,25,14,0,0,1,1,,,,0,23,15,0.5
2010/07,2010EngvsAlg,England,Algeria,8,30,2,4,0,0,,,,0,12,22,0.5
2010/07,2010SlovsEng,Slovenia,England,25,8,0,0,2,4,,,,-1,23,12,0
2010/07,2010USvsAlg,United States,Algeria,14,30,1,1,0,0,,,,1,15,22,1
2010/07,2010ServsGha,Serbia,Ghana,15,32,0,1,1,2,,,,-1,25,16,0.5
2010/07,2010GervsAus,Germany,Australia,6,20,2,4,0,1,,,,1,11,9,1
2010/07,2010GervsSer,Germany,Serbia,6,15,2,4,0,1,,,,-1,11,25,0.625
2010/07,2010GhavsAus,Ghana,Australia,32,20,1,2,0,1,,,,0,16,9,0.285714286
2010/07,2010GhavsGer,Ghana,Germany,32,6,1,2,2,4,,,,-1,16,11,0
2010/07,2010AusvsSer,Australia,Serbia,20,15,0,1,0,1,,,,1,9,25,1
2010/07,2010NethvsDen,Netherlands,Denmark,4,36,3,5,1,2,,,,1,4,21,0.566666667
2010/07,2010JapvsCam,Japan,Cameroon,45,19,0,0,1,2,,,,1,25,17,0.875
2010/07,2010NethvsJap,Netherlands,Japan,4,45,3,5,0,0,,,,1,4,25,1
2010/07,2010CamvsDen,Cameroon,Denmark,19,36,1,2,1,2,,,,-1,17,21,0.333333333
2010/07,2010DenvsJap,Denmark,Japan,36,45,1,2,0,0,,,,-1,21,25,0.5
2010/07,2010CamvsNeth,Cameroon,Netherlands,19,4,1,2,3,5,,,,-1,17,4,0.166666667
2010/07,2010ItavsPara,Italy,Paraguay,5,31,2,3,0,1,,,,0,9,18,0.833333333
2010/07,2010NzvsSlo,New Zealand,Slovakia,78,34,0,0,0,0,,,,0,30,26,0.5
2010/07,2010SlovsPara,Slovakia,Paraguay,34,31,0,0,0,1,,,,-1,26,18,0
2010/07,2010ItavsNz,Italy,New Zealand,5,78,2,3,0,0,,,,0,9,30,0.75
2010/07,2010SlovsIta,Slovakia,Italy,34,5,0,0,2,3,,,,1,26,9,0.5
2010/07,2010ParavsNw,Paraguay,New Zealand,31,78,0,1,0,0,,,,0,18,30,0.75
2010/07,2010IvovsPor,Ivory Coast,Portugal,27,3,2,3,2,4,,,,0,18,8,0.5
2010/07,2010BravsNk,Brazil,North Korea,1,105,3,6,0,0,,,,1,2,28,1
2010/07,2010BravsIvo,Brazil,Ivory Coast,1,27,3,6,2,3,,,,1,2,18,1
2010/07,2010PorvsNk,Portugal,North Korea,3,105,2,4,0,0,,,,1,8,28,1
2010/07,2010PorvsBra,Portugal,Brazil,3,1,2,4,3,6,,,,0,8,2,0.275
2010/07,2010NKvsLov,North Korea,Ivory Coast,105,27,0,0,2,3,,,,-1,28,18,0
2010/07,2010HonvsChile,Honduras,Chile,38,18,0,0,1,2,,,,-1,27,19,0.333333333
2010/07,2010SpavsSwi,Spain,Switzerland,2,24,4,6,0,1,,,,-1,1,24,0.868421053
2010/07,2010ChivsSwi,Chile,Switzerland,18,24,1,2,0,1,,,,1,19,24,0.5
2010/07,2010SpavsHon,Spain,Honduras,2,38,4,6,0,0,,,,1,1,27,0.75
2010/07,2010ChilvsSpa,Chile,Spain,18,2,1,2,4,6,,,,-1,19,1,0.0625
2010/07,2010SwivsHon,Switzerland,Honduras,24,38,0,1,0,0,,,,0,24,27,0.5
2010/07,2010UrgvsSk,Uruguay,South Korea,16,47,1,2,0,1,,,,1,7,20,0.916666667
2010/07,2010UsvsGha,United States,Ghana,14,32,1,1,1,2,,,,-1,15,16,0
2010/07,2010NethvsSlo,Netherlands,Slovakia,4,34,3,5,0,0,,,,1,4,26,1
2010/07,2010BravsChil,Brazil,Chile,1,18,3,6,1,2,,,,1,2,19,0.807692308
2010/07,2010ArgvsMex,Argentina,Mexico,7,17,2,4,1,2,,,,1,15,14,0.648148148
2010/07,2010GervsEng,Germany,England,6,8,2,4,2,4,,,,1,11,12,0.482142857
2010/07,2010ParavsJap,Paraguay,Japan,31,45,0,1,0,0,,,,0,18,25,0.571428571
2010/07,2010SpavsPor,Spain,Portugal,2,3,4,6,2,4,,,,1,1,8,0.617647059
2010/07,2010UruvsGha,Uruguay,Ghana,16,32,1,2,1,2,,,,0,7,16,0
2010/07,2010NethvsBra,Netherlands,Brazil,4,1,3,5,3,6,,,,1,4,2,0.444444444
2010/07,2010ArgvsGer,Argentina,Germany,7,6,2,4,2,4,,,,-1,15,11,0.583333333
2010/07,2010ParavsSpa,Paraguay,Spain,31,2,0,1,4,6,,,,-1,18,1,0.333333333
2010/07,2010UrgvsNeth,Uruguay,Netherlands,16,4,1,2,3,5,,,,-1,7,4,0.75
2010/07,2010GervsSpa,Germany,Spain,6,2,2,4,4,6,,,,-1,11,1,0.55
2010/07,2010_Final_NethvsSpa,Netherlands,Spain,4,2,3,5,4,6,,,,-1,4,1,0.5
2010/07,2010UruvsGer,Uruguay,Germany,7,6,1,2,2,4,,,,-1,7,11,0.222222222
2014/07,2014BravsCro,Brazil,Croatia,3,18,2,5,0,1,,,,1,5,18,0.833333333
2014/07,2014ChivsAus,Chile,Australia,14,62,1,2,0,0,,,,1,14,32,0.875
2014/07,2014MexvsCam,Mexico,Cameroon,20,56,0,1,0,0,,,,1,15,31,1
2014/07,2014SpavsNeth,Spain,Netherlands,1,15,3,6,2,4,,,,-1,3,7,0.5
2014/07,2014Comvsgree,Colombia,Greece,8,12,1,2,0,1,,,,1,12,17,1
2014/07,2014EngvsIta,England,Italy,10,9,1,2,1,2,,,,-1,10,2,0.46
2014/07,2014IvovsJap,Ivory Coast,Japan,23,46,1,2,0,1,,,,1,25,27,0.5
2014/07,2014UruvsCoRi,Uruguay,Costa Rica,7,28,1,2,0,1,,,,-1,13,20,0.75
2014/07,2014ArgvsBos,Argentina,Bosnia,5,21,2,4,0,1,,,,1,6,19,0
2014/07,2014FravsHon,France,Honduras,17,33,1,3,0,0,,,,1,4,30,1
2014/07,2014SwivsEcu,Switzerland,Ecuador,6,26,0,1,0,1,,,,1,11,22,1
2014/07,2014GervsPor,Germany,Portugal,2,4,2,4,1,3,,,,1,1,8,0.694444444
2014/07,2014GhavsUs,Ghana,United States,37,13,0,1,0,1,,,,-1,24,16,0.666666667
2014/07,2014IravsNig,Iran,Nigeria,43,44,0,0,0,1,,,,0,29,23,0.25
2014/07,2014BelvsAlge,Belgium,Algeria,11,22,1,3,0,1,,,,1,9,26,0.833333333
2014/07,2014BravsMex,Brazil,Mexico,3,20,2,5,0,1,,,,0,5,15,0.653846154
2014/07,2014RusvsSK,Russia,South Korea,19,57,0,1,0,0,,,,0,21,28,0.75
2014/07,2014AusvsNeth,Australia,Netherlands,62,15,0,0,2,4,,,,-1,32,7,0.5
2014/07,2014CamvsCro,Cameroon,Croatia,56,18,0,0,0,1,,,,-1,31,18,0
2014/07,2014SpavsChi,Spain,Chile,1,14,3,6,1,2,,,,-1,3,14,0.818181818
2014/07,2014ColovsIvo,Colombia,Ivory Coast,8,23,1,2,1,2,,,,1,12,25,1
2014/07,2014JapvsGreece,Japan,Greece,46,12,0,1,0,1,,,,0,27,17,0.75
2014/07,2014UruvsEng,Uruguay,England,7,10,1,2,1,2,,,,1,13,10,0.590909091
2014/07,2014HonvsEcu,Honduras,Ecuador,33,26,0,0,0,1,,,,-1,30,22,0.416666667
2014/07,2014ItavsCoRi,Italy,Costa Rica,9,28,1,2,0,1,,,,-1,2,20,0.5
2014/07,2014SwivsFra,Switzerland,France,6,17,0,1,1,3,,,,-1,11,4,0.445945946
2014/07,2014ArgvsIra,Argentina,Iran,5,43,2,4,0,0,,,,1,6,29,0.75
2014/07,2014GervsGha,Germany,Ghana,2,37,2,4,0,1,,,,0,1,24,0.833333333
2014/07,2014NigvsBos,Nigeria,Bosnia,44,21,0,1,0,1,,,,1,23,19,0
2014/07,2014BelvsRus,Belgium,Russia,11,19,1,3,0,1,,,,1,9,21,0.5
2014/07,2014SkvsAlg,South Korea,Algeria,57,22,0,0,0,1,,,,-1,28,26,0.333333333
2014/07,2014UsvsPor,United States,Portugal,13,4,0,1,1,3,,,,0,16,8,0.5
2014/07,2014AusvsSpa,Australia,Spain,62,1,0,0,3,6,,,,-1,32,3,0
2014/07,2014BravsCam,Brazil,Cameroon,3,56,2,5,0,0,,,,1,5,31,0.8
2014/07,2014CrovsMex,Croatia,Mexico,18,20,0,1,0,1,,,,-1,18,15,0.5
2014/07,2014NethvaChi,Netherlands,Chile,15,14,2,4,1,2,,,,1,7,14,0.75
2014/07,2014CoRivsEng,Costa Rica,England,28,10,0,1,1,2,,,,0,20,10,0.5
2014/07,2014GrevsIo,Greece,Ivory Coast,12,23,0,1,1,2,,,,1,17,25,1
2014/07,2014ItavsUrg,Italy,Uruguay,9,7,1,2,1,2,,,,-1,2,13,0.4
2014/07,2014JapvsCol,Japan,Colombia,46,8,0,1,1,2,,,,-1,27,12,0.166666667
2014/07,2014BosvsIr,Bosnia,Iran,21,43,0,1,0,0,,,,1,19,29,0
2014/07,2014EcuvsFra,Ecuador,France,26,17,0,1,1,3,,,,0,22,4,0.25
2014/07,2014HonvsSwi,Honduras,Switzerland,33,6,0,0,0,1,,,,-1,30,11,0.25
2014/07,2014NigvsArg,Nigeria,Argentina,44,5,0,1,2,4,,,,-1,23,6,0.214285714
2014/07,2014AlgvsRuss,Algeria,Russia,22,19,0,1,0,1,,,,0,26,21,0.5
2014/07,2014SKvsBel,South Korea,Belgium,57,11,0,0,1,3,,,,-1,28,9,0.125
2014/07,2014PorvsGha,Portugal,Ghana,4,37,1,3,0,1,,,,1,8,24,1
2014/07,2014UsvsGer,United States,Germany,13,2,0,1,2,4,,,,-1,16,1,0.3
2014/07,2014BravsChi,Brazil,Chile,3,14,2,5,1,2,,,,0,5,14,0.801470588
2014/07,2014ColvsUrg,Colombia,Uruguay,8,7,1,2,1,2,,,,1,12,13,0.423076923
2014/07,2014CoRIivsGree,Costa Rica,Greece,28,12,0,1,0,1,,,,0,20,17,0.5
2014/07,2014NethvsMex,Netherlands,Mexico,15,20,2,4,0,1,,,,1,7,15,0.642857143
2014/07,2014FravsNig,France,Nigeria,17,44,1,3,0,1,,,,1,4,23,0.5
2014/07,2014GervsAlg,Germany,Algeria,2,22,2,4,0,1,,,,1,1,26,0.333333333
2014/07,2014ArgvsSwi,Argentina,Switzerland,5,6,2,4,0,1,,,,1,6,11,0.833333333
2014/07,2014BelvsUs,Belgium,United States,11,13,1,3,0,1,,,,1,9,16,0.833333333
2014/07,2014BravsCol,Brazil,Colombia,3,8,2,5,1,2,,,,1,5,12,0.76
2014/07,2014FracsGer,France,Germany,17,2,1,3,2,4,,,,-1,4,1,0.56
2014/07,2014ArgvsBel,Argentina,Belgium,5,11,2,4,1,3,,,,1,6,9,0.75
2014/07,2014NethvsCoRi,Netherlands,Costa Rica,15,28,2,4,0,1,,,,0,7,20,0
2014/07,2014BravsGer,Brazil,Germany,3,2,2,5,2,4,,,,-1,5,1,0.69047619
2014/07,2014NethvsArg,Netherlands,Argentina,15,5,2,4,2,4,,,,0,7,6,0.6875
2014/07,2014BravsNeth,Brazil,Netherlands,3,15,2,5,2,4,,,,-1,5,7,0.5
2014/07,2014GervsArg,Germany,Argentina,2,5,2,4,2,4,,,,1,1,6,0.425
2018/07,2018RussvsSA,Russia,Saudi Arabia,70,67,1,1,0,0,,,,1,19,31,0.5
2018/07,2018EgyvsUru,Egypt,Uruguay,45,14,2,2,3,4,,,,-1,20,10,0
2018/07,2018MorovsIran,Morocco,Iran,41,37,1,1,1,0,,,,-1,22,26,0.333333333
2018/07,2018PorvsSpa,Portugal,Spain,4,10,3,4,6,9,,,,0,8,3,0.405405405
2018/07,2018FravsAus,France,Australia,7,36,6,8,1,0,,,,1,5,29,0.7
2018/07,2018ArgvsIce,Argentina,Iceland,5,22,4,5,1,0,,,,0,7,30,0.5
2018/07,2018PervsDen,Peru,Denmark,11,12,1,1,2,2,,,,-1,23,18,0
2018/07,2018CrovsNig,Croatia,Nigeria,20,48,4,5,2,2,,,,1,13,21,1
2018/07,2018CoRivsSer,Costa Rica,Serbia,23,34,2,2,1,1,,,,-1,11,27,0
2018/07,2018GervsMex,Germany,Mexico,1,15,6,9,2,2,,,,-1,2,14,0.625
2018/07,2018BravsSwi,Brazil,Switzerland,2,6,7,10,2,3,,,,0,4,6,0.555555556
2018/07,2018SwevsSK,Sweden,South Korea,24,57,2,2,2,2,,,,1,15,25,0.75
2018/07,2018BelvsPan,Belgium,Panama,3,55,6,8,0,0,,,,1,1,32,1
2018/07,2018TunvsEng,Tunisia,England,21,12,1,0,4,6,,,,-1,28,9,0.166666667
2018/07,2018ColvsJap,Colombia,Japan,16,61,3,4,1,1,,,,-1,16,24,0.625
2018/07,2018PanvsSen,Poland,Senegal,8,27,2,2,2,2,,,,-1,12,17,0
2018/07,2018RusvsEgy,Russia,Egypt,70,45,1,1,2,2,,,,1,19,20,1
2018/07,2018PorvsMoro,Portugal,Morocco,4,41,3,4,1,1,,,,1,8,22,0.5
2018/07,2018UruvsSA,Uruguay,Saudi Arabia,14,67,3,4,0,0,,,,1,10,31,0.5
2018/07,2018IravsSpa,Iran,Spain,37,10,1,0,6,9,,,,-1,26,3,0
2018/07,2018DenvsAus,Denmark,Australia,12,36,2,2,1,0,,,,0,18,29,0.625
2018/07,2018FravsPer,France,Peru,7,11,6,8,1,1,,,,1,5,23,0.5
